Coluna;Mês Admissão
Município;Não admitido ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
110002;2482;240;249;468;216;307;191;323;240;250;224;223;131;5544
110004;5159;373;367;426;388;362;461;466;373;418;328;316;176;9613
110005;84;11;6;9;6;10;3;7;5;8;11;10;9;179
110006;660;72;181;89;37;47;40;56;64;54;56;22;10;1388
110008;159;7;16;6;10;10;7;12;4;8;24;4;3;270
110009;188;24;5;39;18;18;23;16;32;18;5;7;22;415
110010;1361;67;153;57;78;55;60;58;70;60;45;49;42;2155
110011;1130;89;87;226;50;109;102;90;82;109;81;97;45;2297
110012;6044;522;741;467;430;380;412;571;484;508;600;542;301;12002
110015;705;91;60;62;160;78;80;66;73;83;69;98;42;1667
110018;1725;137;140;195;366;350;130;183;140;167;109;106;107;3855
110020;65307;2349;1991;2198;2042;2396;2258;2327;2539;2105;2407;1937;1405;91261
110025;342;42;32;17;11;20;12;20;18;31;37;25;14;621
110028;222;34;14;11;40;110;65;67;32;22;51;22;10;700
110030;3623;427;430;293;312;403;298;343;319;321;355;230;165;7519
120005;3;0;0;0;0;0;0;0;0;0;0;0;0;3
120010;236;1;2;2;1;1;3;27;27;17;2;4;6;329
120020;1100;23;14;20;17;63;36;73;28;18;28;15;23;1458
120030;252;1;0;7;0;0;4;1;0;2;0;0;0;267
120033;3;0;0;0;0;1;0;0;0;0;0;0;0;4
120034;4;0;0;0;0;0;0;0;0;0;0;0;0;4
120038;37;2;0;3;1;1;0;1;1;0;2;0;0;48
120040;37498;1034;464;742;828;726;891;960;1136;1207;1110;844;525;47965
120045;198;9;1;3;2;1;4;2;3;5;5;3;5;241
120050;270;2;8;16;15;6;3;1;0;3;4;1;0;329
120060;26;0;0;1;0;0;0;0;0;0;1;0;0;28
120070;109;8;0;6;0;0;4;3;2;3;2;0;0;137
130002;1;0;0;0;0;0;0;0;0;0;0;0;0;1
130006;1;0;0;0;0;0;0;0;0;0;1;0;0;2
130008;1;0;0;0;0;0;0;0;0;0;0;0;0;1
130010;145;3;1;29;0;1;1;1;0;0;0;1;0;182
130020;40;4;0;4;3;0;1;0;0;0;0;2;0;54
130030;15;0;1;0;1;0;0;0;0;1;1;5;0;24
130040;6;0;0;0;0;0;0;0;0;0;0;0;0;6
130050;314;5;0;0;0;0;0;0;0;1;0;0;0;320
130060;961;25;5;66;7;25;10;12;19;13;14;13;6;1176
130063;1;0;0;0;0;0;0;0;0;0;0;0;0;1
130068;1;0;0;0;0;0;0;0;0;0;0;0;0;1
130070;263;1;0;10;9;4;4;0;5;0;0;0;1;297
130080;487;29;2;33;13;3;5;1;5;0;3;0;1;582
130083;1;0;0;0;0;0;0;0;0;0;0;0;0;1
130090;2;0;0;0;0;0;0;0;0;0;0;0;0;2
130100;368;9;1;20;0;2;19;4;1;14;7;6;0;451
130110;440;63;35;25;103;78;84;205;89;133;67;111;33;1466
130120;619;18;11;76;10;10;29;6;8;2;13;6;1;809
130130;257;1;9;60;24;24;7;0;10;0;0;0;0;392
130140;357;11;0;80;10;1;6;6;0;2;1;0;0;474
130150;5;0;0;0;0;0;0;0;0;0;0;0;0;5
130160;158;0;0;2;1;0;11;1;2;6;1;0;0;182
130170;958;82;77;110;103;129;179;111;315;173;182;118;63;2600
130180;75;1;0;0;0;1;0;0;0;0;0;0;0;77
130185;31;4;5;0;1;5;6;4;10;0;0;2;0;68
130190;3706;221;276;384;251;390;380;196;208;223;249;181;134;6799
130195;1;0;0;0;0;0;0;0;0;0;0;0;0;1
130200;2;0;0;0;0;0;0;0;0;0;0;0;0;2
130210;3;0;0;0;0;0;0;0;0;0;0;0;0;3
130220;5;0;0;0;0;0;0;0;0;0;0;0;0;5
130230;5;0;0;0;0;0;0;0;0;0;0;0;0;5
130240;417;27;5;10;13;7;10;0;4;6;1;0;0;500
130250;1190;38;30;215;93;57;57;50;40;29;34;44;38;1915
130255;1;0;0;0;0;0;0;0;0;0;0;0;0;1
130260;203429;11460;10125;10998;8348;8186;7448;7149;7707;8663;9062;8380;5007;305962
130270;736;16;0;1;5;0;11;8;1;1;1;2;0;782
130280;31;0;0;0;0;0;0;0;0;0;0;0;0;31
130290;527;13;3;6;2;2;19;17;4;7;5;5;0;610
130300;158;0;0;0;0;0;0;0;0;0;0;0;0;158
130310;361;14;4;29;7;3;4;2;0;2;0;0;1;427
130320;1146;205;188;141;152;76;99;138;72;95;82;52;37;2483
130330;22;2;0;0;0;1;0;1;1;0;0;0;0;27
130340;2468;86;97;165;117;55;33;46;59;28;51;32;14;3251
130350;65;0;3;0;0;2;0;0;0;0;1;0;0;71
130353;186;130;106;100;45;67;40;27;31;41;20;50;15;858
130356;0;0;0;0;0;0;0;2;1;1;0;0;0;4
130370;64;2;0;1;0;0;0;0;0;0;0;0;0;67
130380;336;13;4;40;10;14;28;13;6;3;11;13;5;496
130390;170;3;0;4;0;1;2;1;0;0;14;0;1;196
130395;1;0;0;0;0;0;0;0;0;0;0;0;0;1
130400;354;2;84;79;79;68;105;145;103;99;82;48;17;1265
130406;110;11;0;0;0;1;2;0;0;0;8;6;9;147
130410;7;0;0;0;0;0;0;0;0;0;0;0;0;7
130420;1095;37;15;128;22;13;29;33;17;23;9;2;16;1439
130426;0;1;0;0;0;0;0;0;0;0;0;0;0;1
130430;197;0;0;10;1;0;0;1;0;0;1;0;0;210
130440;263;12;12;16;7;1;16;11;3;3;3;3;0;350
140005;88;17;5;3;5;4;0;5;0;0;1;0;0;128
140010;14520;543;605;600;507;439;456;536;558;452;424;461;372;20473
140015;8;0;0;0;2;0;0;0;0;0;1;0;7;18
140020;397;17;21;19;15;18;17;21;19;12;17;10;2;585
140030;8;5;0;4;4;1;2;1;0;1;0;2;0;28
140040;76;2;5;7;6;3;4;7;7;9;8;7;0;141
140050;10;1;1;1;0;0;0;0;0;0;1;0;0;14
140060;13;0;0;2;0;0;0;0;1;0;0;0;0;16
150010;2553;66;40;36;34;32;19;51;45;29;55;30;14;3004
150020;968;167;151;199;87;225;131;156;168;158;167;147;195;2919
150030;217;9;24;21;13;16;18;39;15;20;15;7;1;415
150040;550;20;8;6;7;5;13;13;6;10;14;6;10;668
150050;7817;1120;1077;1165;703;1047;1109;1198;488;539;464;663;296;17686
150060;2888;181;130;209;161;134;157;100;118;138;94;113;87;4510
150070;34;4;0;0;0;1;0;1;2;0;0;0;0;42
150080;15880;1028;983;1047;925;960;1111;900;929;1238;1249;1196;822;28268
150090;183;2;0;0;0;0;3;0;2;0;0;1;0;191
150100;259;2;3;2;0;1;2;0;2;1;0;1;1;274
150110;16;0;1;0;0;0;0;0;0;0;0;0;0;17
150120;1;0;0;1;0;0;0;0;0;0;0;0;0;2
150130;3799;442;239;165;149;166;223;230;115;137;94;115;71;5945
150140;240116;10056;8770;8958;9559;7787;7629;7465;8066;8293;8601;8218;5171;338689
150150;2434;159;157;114;165;157;96;116;96;117;112;57;42;3822
150170;941;44;33;49;42;50;32;31;27;32;61;30;13;1385
150180;1830;176;175;123;120;105;106;160;86;103;107;134;44;3269
150190;159;17;7;7;3;7;5;1;9;11;5;5;5;241
150200;219;2;0;3;1;0;0;0;1;1;0;0;0;227
150210;723;114;4;51;22;26;27;12;8;1;12;11;2;1013
150220;3524;86;68;74;55;78;89;62;58;53;119;60;37;4363
150230;511;47;0;1;4;3;8;3;8;61;32;7;4;689
150240;7408;512;310;323;276;347;401;331;313;330;274;305;239;11369
150250;8;0;0;0;0;0;0;8;1;0;0;0;0;17
150260;1;0;0;0;0;0;0;0;0;0;0;0;0;1
150270;2675;256;271;229;211;287;260;180;227;271;236;116;47;5266
150280;229;10;0;1;0;0;1;1;0;1;0;2;0;245
150290;230;3;0;0;24;9;5;5;21;6;2;2;2;309
150300;69;8;0;0;0;2;5;4;0;2;0;1;0;91
150310;15;1;0;2;0;0;0;0;0;1;0;0;0;19
150320;347;8;6;6;4;4;6;4;1;2;0;3;4;395
150330;439;13;0;0;1;2;1;1;1;29;2;4;21;514
150340;90;5;0;2;0;1;2;1;1;0;0;0;2;104
150350;1013;82;47;82;70;34;50;48;38;64;53;85;54;1720
150360;1943;195;108;148;121;154;218;172;183;154;138;70;83;3687
150370;48;5;5;3;2;1;2;10;2;1;10;0;0;89
150380;118;23;24;20;32;11;6;8;8;24;20;6;1;301
150390;77;0;0;0;0;0;0;0;5;0;3;7;0;92
150400;2;0;0;1;0;0;0;0;0;0;0;0;0;3
150410;217;16;3;7;8;1;18;7;7;5;0;0;0;289
150420;10539;941;980;754;714;750;836;1022;1207;921;810;757;440;20671
150430;681;39;71;37;9;15;19;18;36;11;3;4;2;945
150440;291;2;1;0;1;2;1;2;1;3;0;1;0;305
150450;3;3;0;0;0;0;0;0;0;0;0;0;0;6
150460;16;0;0;0;0;0;0;0;0;0;3;0;0;19
150470;1119;118;61;77;83;98;105;119;75;67;72;54;19;2067
150480;919;7;20;6;9;2;4;11;2;10;3;1;1;995
150490;114;6;2;1;7;13;6;5;0;2;4;4;2;166
150500;173;1;1;0;1;0;1;1;0;1;0;1;0;180
150510;1054;26;53;150;112;69;34;37;96;34;8;10;4;1687
150520;3;0;0;0;0;0;0;0;0;0;0;0;1;4
150530;3115;114;185;233;161;166;187;141;216;211;342;338;244;5653
150540;357;3;7;1;2;9;6;4;6;5;2;8;2;412
150550;4575;533;383;439;324;351;415;434;360;451;391;334;164;9154
150560;157;0;0;1;0;1;0;0;0;0;0;1;0;160
150570;152;1;2;0;0;0;2;0;0;2;0;0;0;159
150580;405;9;11;21;17;2;22;14;34;18;21;3;8;585
150590;61;6;1;1;4;2;1;0;4;1;1;1;0;83
150600;573;64;29;157;72;48;55;34;22;97;39;26;14;1230
150610;339;7;0;1;2;0;1;0;0;20;1;0;0;371
150613;1142;82;99;158;98;121;133;182;347;221;171;75;32;2861
150616;262;26;45;35;21;36;3;17;1;1;0;2;0;449
150618;550;89;26;41;6;30;55;33;43;41;55;40;35;1044
150620;391;5;5;16;9;4;4;0;4;5;10;1;14;468
150630;198;23;1;11;0;3;0;1;3;1;6;0;0;247
150640;1;0;0;0;0;0;1;0;0;0;0;0;0;2
150650;1751;184;101;235;117;123;119;105;90;143;108;73;59;3208
150660;394;16;4;11;1;5;2;7;10;8;24;7;2;491
150670;1631;86;121;138;62;123;160;151;105;114;123;194;76;3084
150680;16445;861;741;882;597;640;592;611;580;600;657;593;377;24176
150690;1;0;0;0;0;0;0;0;0;0;0;0;0;1
150700;186;18;19;4;6;14;11;9;7;2;8;10;9;303
150710;3;0;0;0;1;0;3;0;0;0;0;0;0;7
150720;343;16;12;26;11;6;4;9;9;12;10;15;4;477
